company_name,ratings,rating_count,highly_rated,critical_rated,location,salaries,interviews,jobs,benefits
Heavy Engineering Industries & Shipbuilding,3.9,378,"Salary, Work Life Balance, Job Security",Promotions,Engineering & Construction | Kuwait City +27 other locations,NaN,NaN,NaN,NaN
PropTiger.com,3.8,378,"Salary, Company Culture, Skill Development","Job Security, Promotions",Internet | Gurugram +14 other locations,NaN,NaN,NaN,NaN
Andromeda Sales ans Distribution PVT LTD,3.2,379,NaN,"Promotions, Job Security, Salary",Internet | Mumbai +71 other locations,NaN,NaN,NaN,NaN
SATTVA,4.3,378,"Work Life Balance, Job Security, Company Culture",Promotions,Real Estate | Bengaluru +15 other locations,NaN,NaN,NaN,NaN
Captain Steel India Limited,3.7,377,Salary,"Job Security, Promotions, Company Culture",Iron & Steel | Kolkata +78 other locations,NaN,NaN,NaN,NaN
Rainbow Hospital,3.7,378,NaN,"Promotions, Salary",Healthcare | Hyderabad +20 other locations,NaN,NaN,NaN,NaN
Apcer Life Sciences,3.4,377,NaN,"Promotions, Company Culture, Work Satisfaction",Pharma | Ahmedabad +9 other locations,NaN,NaN,NaN,NaN
Lauritz Knudsen Electrical & Automation,4.2,376,"Company Culture, Work Life Balance, Skill Development",Promotions,Electronics Manufacturing | Mumbai +72 other locations,NaN,NaN,NaN,NaN
KaaShiv InfoTech Company,4.8,376,"Work Satisfaction, Company Culture, Job Security",NaN,EdTech | Chennai +5 other locations,NaN,NaN,NaN,NaN
Bss Microfinance,3.8,379,Salary,NaN,Financial Services | Bengaluru +135 other locations,NaN,NaN,NaN,NaN
Jawahar Navodaya Vidyalaya,4.4,376,"Work Life Balance, Work Satisfaction, Skill Development",Promotions,Education & Training | New Delhi +155 other locations,NaN,NaN,NaN,NaN
Columbia Petro Chem,4.1,376,"Salary, Work Life Balance, Company Culture",NaN,Oil & Gas | Mumbai +13 other locations,NaN,NaN,NaN,NaN
Rahee Group,3.9,376,Work Life Balance,Promotions,Railways | Kolkata +48 other locations,NaN,NaN,NaN,NaN
Lloyds Metals And Energy,3.7,376,NaN,"Promotions, Company Culture, Work Satisfaction",Metals & Mining | Chandrapur +14 other locations,NaN,NaN,NaN,NaN
Civica India,3.0,376,NaN,"Job Security, Promotions, Salary",IT Services & Consulting | Vadodara +12 other locations,NaN,NaN,NaN,NaN
Hilex,3.8,376,"Work Life Balance, Job Security",Promotions,Automobile | Chennai +17 other locations,NaN,NaN,NaN,NaN
Ven Consulting,3.2,376,NaN,"Job Security, Promotions, Company Culture",Recruitment | Bengaluru +65 other locations,NaN,NaN,NaN,NaN
Data-Core Systems,2.9,375,NaN,"Promotions, Salary, Skill Development",IT Services & Consulting | Kolkata +6 other locations,NaN,NaN,NaN,NaN
Cashpor Micro Credit,3.6,375,NaN,"Promotions, Work Satisfaction, Skill Development",NBFC | Varanasi +65 other locations,NaN,NaN,NaN,NaN
Aquasub Engineering,3.8,375,NaN,"Promotions, Job Security, Salary",Industrial Machinery | Coimbatore +17 other locations,NaN,NaN,NaN,NaN
Sunflag Iron and Steel,3.7,375,NaN,"Promotions, Work Satisfaction, Company Culture",Iron & Steel | Bhandara +16 other locations,NaN,NaN,NaN,NaN
Wildcraft,3.6,375,NaN,"Promotions, Salary, Company Culture",Fashion & Textile | Bengaluru +50 other locations,NaN,NaN,NaN,NaN
Apmosys Technologies,3.1,376,NaN,"Company Culture, Work Satisfaction, Promotions",IT Services & Consulting | Mumbai +9 other locations,NaN,NaN,NaN,NaN
Priya Cement,4.2,375,"Job Security, Work Life Balance, Company Culture",Promotions,Building Material | Kurnool +54 other locations,NaN,NaN,NaN,NaN
OneSource Specialty Pharma Limited,3.8,377,NaN,Promotions,Pharma | Bengaluru +7 other locations,NaN,NaN,NaN,NaN
Mahendra’s Institute,3.1,374,NaN,"Salary, Promotions, Company Culture",Education & Training | Lucknow +93 other locations,NaN,NaN,NaN,NaN
Karvy Innotech,2.9,374,NaN,"Promotions, Salary, Company Culture",IT Services & Consulting | New Delhi +43 other locations,NaN,NaN,NaN,NaN
TCG Lifesciences,4.1,374,"Job Security, Work Life Balance, Company Culture",NaN,Pharma | Kolkata +8 other locations,NaN,NaN,NaN,NaN
Bellsonica Auto Component,4.0,375,"Work Life Balance, Company Culture, Work Satisfaction",Promotions,Auto Components | Gurugram +15 other locations,NaN,NaN,NaN,NaN
Royal Orchid Hotels,4.1,374,"Company Culture, Work Life Balance, Job Security",NaN,Hospitality | Bengaluru +51 other locations,NaN,NaN,NaN,NaN
Wagh Bakri Tea Group,4.2,374,"Salary, Company Culture, Work Life Balance",Promotions,Beverage | Ahmedabad +59 other locations,NaN,NaN,NaN,NaN
Associated Road Carriers,4.1,373,"Work Life Balance, Job Security, Company Culture",Promotions,Logistics | Hyderabad +73 other locations,NaN,NaN,NaN,NaN
