company_name,ratings,rating_count,highly_rated,critical_rated,location,salaries,interviews,jobs,benefits
Apna,3.2,275,NaN,"Job Security, Promotions, Work Satisfaction",Recruitment | Bengaluru +21 other locations,NaN,NaN,NaN,NaN
Bacardi,3.7,275,Salary,"Promotions, Work Satisfaction",Beverage | Gurugram +58 other locations,NaN,NaN,NaN,NaN
Kanwar Enterprises,3.4,276,NaN,"Promotions, Company Culture, Salary",Engineering & Construction | Noida +38 other locations,NaN,NaN,NaN,NaN
IPROCESS BUSINESS SOLUTIONS,3.8,275,"Company Culture, Work Life Balance","Promotions, Salary",EdTech | Hyderabad +106 other locations,NaN,NaN,NaN,NaN
Vayam Info Solutions,4.0,274,Work Life Balance,"Promotions, Skill Development, Job Security",Recruitment | New Delhi +45 other locations,NaN,NaN,NaN,NaN
Jspiders,3.6,274,NaN,"Salary, Job Security, Promotions",Education & Training | Bengaluru +18 other locations,NaN,NaN,NaN,NaN
British Airways,2.9,274,NaN,"Company Culture, Work Satisfaction, Promotions",Aviation | New Delhi +13 other locations,NaN,NaN,NaN,NaN
Century Enka,4.1,274,"Job Security, Skill Development, Company Culture",Promotions,Fashion & Textile | Pune +14 other locations,NaN,NaN,NaN,NaN
Profectus Capital,4.2,274,"Work Life Balance, Company Culture, Salary",NaN,NBFC | Mumbai +35 other locations,NaN,NaN,NaN,NaN
Accurex Biomedical,4.4,274,"Company Culture, Skill Development, Work Life Balance",NaN,Medical Equipment | Mumbai +49 other locations,NaN,NaN,NaN,NaN
Asian Heart Institute,4.2,274,"Skill Development, Salary, Work Satisfaction",NaN,Healthcare | Mumbai +6 other locations,NaN,NaN,NaN,NaN
Sentiss Pharma,3.7,274,NaN,"Job Security, Promotions, Work Satisfaction",Pharma | Gurugram +27 other locations,NaN,NaN,NaN,NaN
Apex CoVantage,3.1,274,NaN,"Promotions, Skill Development, Salary",IT Services & Consulting | Hyderabad +12 other locations,NaN,NaN,NaN,NaN
Hidden Brains InfoTech,3.6,274,Skill Development,"Work Life Balance, Promotions",IT Services & Consulting | Ahmedabad +7 other locations,NaN,NaN,NaN,NaN
Sunteck Realty,3.3,274,NaN,"Skill Development, Company Culture, Work Satisfaction",Real Estate | Mumbai +9 other locations,NaN,NaN,NaN,NaN
indiagold,4.5,274,"Company Culture, Work Life Balance, Work Satisfaction",NaN,FinTech | Gurugram +21 other locations,NaN,NaN,NaN,NaN
SUN Mobility,3.9,274,"Salary, Company Culture, Work Life Balance",Promotions,Automobile | Bengaluru +10 other locations,NaN,NaN,NaN,NaN
Stellar Information Technology,3.5,275,Work Life Balance,"Promotions, Company Culture, Salary",Software Product | Gurugram +13 other locations,NaN,NaN,NaN,NaN
Terralogic Software Solutions,2.8,274,NaN,"Salary, Company Culture, Work Satisfaction",IT Services & Consulting | Bengaluru +10 other locations,NaN,NaN,NaN,NaN
Mouser Electronics,3.4,275,NaN,"Promotions, Skill Development, Work Satisfaction",Semiconductors | Bengaluru +3 other locations,NaN,NaN,NaN,NaN
P&O Cruises,3.5,273,Job Security,"Promotions, Work Life Balance, Work Satisfaction",Travel & Tourism | Mumbai +19 other locations,NaN,NaN,NaN,NaN
greytHR,3.6,273,NaN,"Promotions, Job Security, Salary",Software Product | Bengaluru +15 other locations,NaN,NaN,NaN,NaN
Mitsuba Sical,4.0,273,"Company Culture, Job Security, Salary",Promotions,Auto Components | Gurugram +16 other locations,NaN,NaN,NaN,NaN
S G Encon,3.5,273,NaN,"Promotions, Company Culture, Work Satisfaction",Engineering & Construction | New Delhi +42 other locations,NaN,NaN,NaN,NaN
Adonmo,4.4,273,"Company Culture, Work Life Balance, Work Satisfaction",NaN,Marketing & Advertising | Hyderabad +21 other locations,NaN,NaN,NaN,NaN
Cargo Service Center India,3.7,273,NaN,"Promotions, Company Culture, Work Satisfaction",Logistics | New Delhi +12 other locations,NaN,NaN,NaN,NaN
Shriram Group,4.0,273,NaN,Promotions,Financial Services | Chennai +115 other locations,NaN,NaN,NaN,NaN
Reliance resQ,3.9,273,"Skill Development, Work Life Balance, Work Satisfaction","Promotions, Salary",Other | Mumbai +83 other locations,NaN,NaN,NaN,NaN
Oriflame India,4.1,273,"Work Life Balance, Company Culture, Work Satisfaction",Promotions,Beauty & Personal Care | New Delhi +24 other locations,NaN,NaN,NaN,NaN
Intech Organics,3.1,273,NaN,"Job Security, Promotions, Skill Development",Agro Chemicals | Gurugram +19 other locations,NaN,NaN,NaN,NaN
Normet,3.9,273,"Work Life Balance, Job Security, Salary",Promotions,Industrial Machinery | Jaipur +20 other locations,NaN,NaN,NaN,NaN
Ambica Steels,3.5,273,NaN,"Promotions, Job Security, Company Culture",Metals & Mining | New Delhi +17 other locations,NaN,NaN,NaN,NaN
Niine,3.7,273,Salary,"Promotions, Job Security, Work Satisfaction",Beauty & Personal Care | Gorakhpur +67 other locations,NaN,NaN,NaN,NaN
Shakambhari Ispat & Power,3.7,273,NaN,"Promotions, Salary, Company Culture",Power | Kolkata +17 other locations,NaN,NaN,NaN,NaN
JM Financial Home Loans,4.0,273,"Salary, Company Culture, Work Life Balance",NaN,NBFC | Mumbai +82 other locations,NaN,NaN,NaN,NaN
ICICI Foundation for Inclusive Growth,3.6,272,NaN,"Promotions, Job Security, Company Culture",Non-Profit | Mumbai +66 other locations,NaN,NaN,NaN,NaN
Medgenome Labs,3.8,272,"Job Security, Skill Development","Promotions, Work Life Balance",Biotechnology | Bengaluru +21 other locations,NaN,NaN,NaN,NaN
Hero Electric,4.1,272,"Company Culture, Work Life Balance, Work Satisfaction",Promotions,Automobile | Ludhiana +39 other locations,NaN,NaN,NaN,NaN
Vesuvius,3.7,272,Salary,"Promotions, Work Life Balance, Company Culture",Industrial Machinery | Visakhapatnam +24 other locations,NaN,NaN,NaN,NaN
Winjit Technologies,3.5,272,NaN,"Promotions, Salary, Work Satisfaction",IT Services & Consulting | Nashik +12 other locations,NaN,NaN,NaN,NaN
Insecticides India,4.0,272,"Work Life Balance, Job Security, Work Satisfaction",NaN,Agro Chemicals | Bharuch +44 other locations,NaN,NaN,NaN,NaN
Flipspaces,4.0,272,"Company Culture, Salary, Work Life Balance",NaN,Architecture & Interior Design | Mumbai +12 other locations,NaN,NaN,NaN,NaN
WeRize,3.4,272,NaN,"Promotions, Company Culture, Work Life Balance",Financial Services | Bengaluru +19 other locations,NaN,NaN,NaN,NaN
Strada,3.6,272,Job Security,"Promotions, Salary",Financial Services | Hyderabad +26 other locations,NaN,NaN,NaN,NaN
East India Udyog,3.9,272,"Work Life Balance, Salary, Company Culture",NaN,Electrical Equipment | Noida +38 other locations,NaN,NaN,NaN,NaN
Sigachi Industries,3.8,272,Work Life Balance,NaN,Pharma | Bharuch +16 other locations,NaN,NaN,NaN,NaN
GyanSys Inc,3.1,272,NaN,"Company Culture, Job Security, Work Satisfaction",IT Services & Consulting | Bengaluru +12 other locations,NaN,NaN,NaN,NaN
Armstrong Robotics & Technologies Private Limited,4.0,272,"Skill Development, Company Culture, Work Life Balance",NaN,Industrial Automation | Nashik +14 other locations,NaN,NaN,NaN,NaN
Rakon,3.7,272,"Job Security, Company Culture, Work Life Balance","Promotions, Salary",Electronics Manufacturing | Bengaluru +4 other locations,NaN,NaN,NaN,NaN
Arrow,4.5,273,"Job Security, Company Culture, Work Life Balance",NaN,Fashion & Textile | Bengaluru +21 other locations,NaN,NaN,NaN,NaN
Nalco,4.1,271,"Job Security, Work Life Balance, Salary",NaN,Metals & Mining | Bhubaneswar +16 other locations,NaN,NaN,NaN,NaN
Caplin Point Laboratories,3.2,271,NaN,"Company Culture, Job Security, Promotions",Pharma | Chennai +7 other locations,NaN,NaN,NaN,NaN
Utkarsh Classes,4.1,271,"Company Culture, Work Life Balance, Skill Development",Promotions,EdTech | Jodhpur +7 other locations,NaN,NaN,NaN,NaN
Allengers Medical Systems,3.6,271,NaN,"Promotions, Company Culture, Work Life Balance",Medical Equipment | Chandigarh +41 other locations,NaN,NaN,NaN,NaN
Vistra Corporate Services,3.5,271,NaN,"Promotions, Salary, Work Satisfaction",Power | Mumbai +12 other locations,NaN,NaN,NaN,NaN
Sonalika Group of Companies,3.8,271,NaN,"Promotions, Company Culture, Work Satisfaction",Automobile | Hoshiarpur +43 other locations,NaN,NaN,NaN,NaN
Valmet,4.0,271,"Work Life Balance, Company Culture",Promotions,Oil & Gas | Pune +14 other locations,NaN,NaN,NaN,NaN
Vialto Partners,2.9,271,NaN,"Promotions, Work Satisfaction, Job Security",Management Consulting | Bengaluru +9 other locations,NaN,NaN,NaN,NaN
Applus IDIADA,4.0,271,"Company Culture, Work Life Balance, Work Satisfaction",NaN,Auto Components | Pune +6 other locations,NaN,NaN,NaN,NaN
L&T Realty,3.7,271,Job Security,"Promotions, Salary, Work Satisfaction",Real Estate | Mumbai +10 other locations,NaN,NaN,NaN,NaN
Pinkerton,3.6,271,NaN,"Promotions, Salary, Work Satisfaction",Law Enforcement & Security | Gurugram +15 other locations,NaN,NaN,NaN,NaN
Gallantt Ispat,3.8,271,Work Life Balance,Promotions,Iron & Steel | Gorakhpur +24 other locations,NaN,NaN,NaN,NaN
Central Institute of Mining and Fuel Research,3.9,270,NaN,"Job Security, Promotions, Salary",Education & Training | Dhanbad +19 other locations,NaN,NaN,NaN,NaN
Tata Sikorsky Aerospace,3.6,270,Job Security,"Promotions, Salary, Company Culture",Defence & Aerospace | Hyderabad +6 other locations,NaN,NaN,NaN,NaN
Sundaram Business Services,3.7,270,"Job Security, Work Life Balance, Work Satisfaction","Salary, Promotions",BPO | Chennai +8 other locations,NaN,NaN,NaN,NaN
Eastern Condiments,3.8,270,NaN,Promotions,FMCG | Kochi +55 other locations,NaN,NaN,NaN,NaN
Bhilai Engineering Corporation,3.6,270,NaN,"Promotions, Salary, Company Culture",Industrial Machinery | Bhilai Nagar +21 other locations,NaN,NaN,NaN,NaN
GGS Engineering Services,3.2,270,NaN,"Promotions, Skill Development, Company Culture",Engineering & Construction | Chennai +8 other locations,NaN,NaN,NaN,NaN
Toshiba Software India,3.4,270,Job Security,"Skill Development, Promotions, Work Satisfaction",IT Services & Consulting | Bengaluru +5 other locations,NaN,NaN,NaN,NaN
Latinem,3.6,270,Salary,Promotions,Real Estate | Hyderabad +3 other locations,NaN,NaN,NaN,NaN
ACN Health care,3.3,270,NaN,"Promotions, Company Culture, Work Satisfaction",BPO | Bengaluru +7 other locations,NaN,NaN,NaN,NaN
Sakra World Hospital,4.0,270,"Company Culture, Job Security, Skill Development","Promotions, Salary",Healthcare | Bengaluru +10 other locations,NaN,NaN,NaN,NaN
Vacmet India,4.1,270,"Job Security, Work Life Balance, Salary",NaN,Packaging | Indore +13 other locations,NaN,NaN,NaN,NaN
Numerator,3.9,270,"Work Life Balance, Company Culture","Promotions, Skill Development, Salary",Marketing & Advertising | Vadodara +2 other locations,NaN,NaN,NaN,NaN
Vantive,4.5,271,"Company Culture, Work Life Balance, Work Satisfaction",NaN,Healthcare | Bengaluru +7 other locations,NaN,NaN,NaN,NaN
Fashion TV,3.0,269,NaN,"Job Security, Company Culture, Work Life Balance",Retail | Mumbai +13 other locations,NaN,NaN,NaN,NaN
Belstar Investment and Finance,4.1,269,"Company Culture, Work Life Balance, Work Satisfaction",NaN,Investment Banking / Venture Capital / Private Equity | Chennai +107 other locations,NaN,NaN,NaN,NaN
Dnata,3.2,269,NaN,"Promotions, Company Culture, Work Life Balance",Aviation | Bengaluru +20 other locations,NaN,NaN,NaN,NaN
Belstar Investment and Finance,4.1,269,"Company Culture, Work Life Balance, Work Satisfaction",NaN,Investment Banking / Venture Capital / Private Equity | Chennai +107 other locations,NaN,NaN,NaN,NaN
Dnata,3.2,269,NaN,"Promotions, Company Culture, Work Life Balance",Aviation | Bengaluru +20 other locations,NaN,NaN,NaN,NaN
Anthology,3.4,269,NaN,"Promotions, Job Security, Skill Development",EdTech | Bengaluru +7 other locations,NaN,NaN,NaN,NaN
Shivani Locks,3.7,269,NaN,"Promotions, Company Culture, Job Security",Industrial Machinery | Faridabad +11 other locations,NaN,NaN,NaN,NaN
Corsearch,3.9,269,"Work Life Balance, Company Culture, Work Satisfaction","Promotions, Salary",IT Services & Consulting | Mumbai +5 other locations,NaN,NaN,NaN,NaN
Sparsh Hospital,3.6,269,NaN,"Promotions, Salary, Company Culture",Healthcare | Bengaluru +28 other locations,NaN,NaN,NaN,NaN
Sahajanand Medical Technologies,3.4,269,NaN,"Promotions, Skill Development, Salary",Medical Equipment | Surat +37 other locations,NaN,NaN,NaN,NaN
Kisna Diamonds - HK Jewels,3.3,270,NaN,"Promotions, Work Satisfaction, Job Security",Jewellery | Mumbai +51 other locations,NaN,NaN,NaN,NaN
Azad Engineering,3.7,269,Salary,Work Satisfaction,Engineering & Construction | Hyderabad +14 other locations,NaN,NaN,NaN,NaN
Riviera Infraprojects,4.2,270,"Salary, Skill Development, Work Life Balance",NaN,Engineering & Construction | Ahmedabad +15 other locations,NaN,NaN,NaN,NaN
Nandan Petrochem,3.7,269,NaN,Promotions,Petrochemicals | Mumbai +33 other locations,NaN,NaN,NaN,NaN
Piramal Realty,4.2,268,"Salary, Work Life Balance, Company Culture",NaN,Real Estate | Mumbai +9 other locations,NaN,NaN,NaN,NaN
Tata Autocomp Gotion Green Energy Solutions,NaN,NaN,"Job Security, Skill Development","Promotions, Salary",Auto Components | Pune +9 other locations,NaN,NaN,NaN,NaN
Arihant Superstructures,4.1,268,"Work Life Balance, Company Culture, Job Security",NaN,Real Estate | Navi Mumbai +6 other locations,NaN,NaN,NaN,NaN
Snowman Logistics,4.1,269,"Job Security, Company Culture, Work Life Balance",Promotions,Logistics | Bengaluru +26 other locations,NaN,NaN,NaN,NaN
Karnataka Bank,3.7,269,"Job Security, Salary",Promotions,Banking | Bengaluru +68 other locations,NaN,NaN,NaN,NaN
Mitsubishi Elevators,4.1,268,"Job Security, Work Life Balance, Company Culture",NaN,Industrial Machinery | Bengaluru +24 other locations,NaN,NaN,NaN,NaN
Expertise Contracting Company,3.5,268,NaN,"Promotions, Salary, Company Culture",Industrial Machinery | Al Jubail +15 other locations,NaN,NaN,NaN,NaN
Battery Smart,3.4,268,NaN,"Promotions, Job Security, Company Culture",Auto Components | Gurugram +34 other locations,NaN,NaN,NaN,NaN
JP Infra,3.7,268,NaN,"Promotions, Company Culture, Work Satisfaction",Real Estate | Mumbai +10 other locations,NaN,NaN,NaN,NaN
Birla Open Minds Education Private Limited,3.1,268,NaN,"Job Security, Promotions, Company Culture",Education & Training | Hyderabad +34 other locations,NaN,NaN,NaN,NaN
Tata Strive Skill Development Centre,3.9,268,"Job Security, Skill Development",Promotions,Education & Training | Mumbai +48 other locations,NaN,NaN,NaN,NaN
Jeena Sikho Lifecare,3.9,268,"Work Life Balance, Job Security",Promotions,Healthcare | Chandigarh +47 other locations,NaN,NaN,NaN,NaN
iServeU,4.1,268,"Skill Development, Salary, Company Culture",NaN,FinTech | Bhubaneswar +6 other locations,NaN,NaN,NaN,NaN
Gujarat Gas,3.8,268,"Work Life Balance, Job Security","Promotions, Salary",Oil & Gas | Ahmedabad +46 other locations,NaN,NaN,NaN,NaN
JRG Automotive india,3.2,268,NaN,"Job Security, Salary, Company Culture",Auto Components | Bawal +16 other locations,NaN,NaN,NaN,NaN
Trimble,3.8,268,"Company Culture, Work Life Balance",Promotions,IT Services & Consulting | Chennai +16 other locations,NaN,NaN,NaN,NaN
Sony India Software Centre,3.7,268,"Company Culture, Work Life Balance","Promotions, Skill Development, Salary",Consumer Electronics & Appliances | Bengaluru +8 other locations,NaN,NaN,NaN,NaN
Niit Foundation,4.0,270,"Company Culture, Work Life Balance, Skill Development",Promotions,Education & Training | New Delhi +50 other locations,NaN,NaN,NaN,NaN
Durian Industries,3.8,268,NaN,"Promotions, Skill Development, Work Satisfaction",Retail | Mumbai +38 other locations,NaN,NaN,NaN,NaN
Dyson,3.7,268,Salary,"Promotions, Job Security, Company Culture",Consumer Electronics & Appliances | Gurugram +35 other locations,NaN,NaN,NaN,NaN
Appasamy Associates,3.5,268,NaN,"Promotions, Salary, Company Culture",Medical Equipment | Chennai +40 other locations,NaN,NaN,NaN,NaN
PG Electroplast,4.0,268,"Skill Development, Salary",NaN,Consumer Electronics & Appliances | Noida +23 other locations,NaN,NaN,NaN,NaN
Shyam Steel Manufacturing,3.5,267,NaN,"Job Security, Promotions, Company Culture",Kolkata +44 other locations,NaN,NaN,NaN,NaN
Perfios Software Solutions,3.5,267,NaN,"Promotions, Salary, Work Satisfaction",FinTech | Bengaluru +5 other locations,NaN,NaN,NaN,NaN
Cochin Shipyard,4.2,267,"Work Satisfaction, Company Culture, Work Life Balance",Promotions,Ports & Shipping | Kochi +16 other locations,NaN,NaN,NaN,NaN
Rostfrei Steels,3.7,267,Salary,"Job Security, Promotions",Industrial Machinery | New Delhi +12 other locations,NaN,NaN,NaN,NaN
Unison Pharmaceuticals,3.9,267,"Job Security, Salary, Work Life Balance",Promotions,Pharma | Ahmedabad +10 other locations,NaN,NaN,NaN,NaN
Kovai Medical Center and Hospital,4.2,267,"Job Security, Company Culture, Skill Development",Promotions,Healthcare | Coimbatore +13 other locations,NaN,NaN,NaN,NaN
Calderys India Refractories,4.1,267,"Job Security, Company Culture, Work Life Balance",Promotions,Metals & Mining | Nagpur +23 other locations,NaN,NaN,NaN,NaN
Bombardier Transportation,4.4,266,"Company Culture, Work Life Balance, Work Satisfaction",NaN,Urban Transport | Vadodara +11 other locations,NaN,NaN,NaN,NaN
Shriram Value Services,3.9,266,Company Culture,Salary,IT Services & Consulting | Chennai +28 other locations,NaN,NaN,NaN,NaN
Gujarat State Fertilizers & Chemicals,4.3,266,"Work Life Balance, Company Culture, Job Security",NaN,Agro Chemicals | Vadodara +26 other locations,NaN,NaN,NaN,NaN
Danieli,3.6,266,NaN,"Promotions, Company Culture, Salary",Industrial Machinery | Chennai +15 other locations,NaN,NaN,NaN,NaN
Fresenius Medical Care,3.8,266,"Work Life Balance, Job Security","Promotions, Salary, Work Satisfaction",Healthcare | Gurugram +33 other locations,NaN,NaN,NaN,NaN
OmniActive Health Technologies,3.4,267,NaN,"Promotions, Company Culture, Work Satisfaction",Fitness & Wellness | Pune +13 other locations,NaN,NaN,NaN,NaN
Modi Mundi Pharma,3.9,266,Work Life Balance,Promotions,Pharma | New Delhi +44 other locations,NaN,NaN,NaN,NaN
Etisalat,3.2,266,NaN,"Promotions, Salary, Company Culture",Telecom | Dubai +15 other locations,NaN,NaN,NaN,NaN
UNICEF,3.9,266,"Work Life Balance, Salary, Company Culture","Job Security, Promotions",Non-Profit | New Delhi +59 other locations,NaN,NaN,NaN,NaN
Unitech,3.7,266,NaN,"Promotions, Salary",Real Estate | Gurugram +29 other locations,NaN,NaN,NaN,NaN
Amity Software Limited,3.9,266,"Company Culture, Work Life Balance, Work Satisfaction",NaN,Insurance | Noida +8 other locations,NaN,NaN,NaN,NaN
LIXIL,3.9,266,"Company Culture, Work Life Balance, Salary",Promotions,Building Material | Gurugram +42 other locations,NaN,NaN,NaN,NaN
Zeetech Management And Marketing,3.8,266,"Company Culture, Work Satisfaction, Skill Development",NaN,Ranchi +34 other locations,NaN,NaN,NaN,NaN
O P Jindal Global University,3.7,266,"Job Security, Salary","Promotions, Skill Development, Company Culture",Education & Training | Sonipat +11 other locations,NaN,NaN,NaN,NaN
Steel Infra Solutions,3.5,266,NaN,"Company Culture, Promotions, Work Life Balance",Bhilai Nagar +18 other locations,NaN,NaN,NaN,NaN
Augmont Goldtech,4.6,266,"Company Culture, Work Life Balance, Work Satisfaction",NaN,Financial Services | Mumbai +57 other locations,NaN,NaN,NaN,NaN
AISECT,3.8,266,"Company Culture, Work Life Balance, Skill Development","Promotions, Salary",Education & Training | Bhopal +58 other locations,NaN,NaN,NaN,NaN
Kutch Chemical Industries,3.9,266,"Job Security, Work Life Balance","Promotions, Salary",Chemicals | Gandhidham +15 other locations,NaN,NaN,NaN,NaN
Novonesis,3.8,266,"Work Life Balance, Company Culture, Salary",Promotions,Biotechnology | Bengaluru +11 other locations,NaN,NaN,NaN,NaN
Tata Boeing Aerospace,3.6,267,Job Security,"Salary, Promotions, Company Culture",Defence & Aerospace | Hyderabad +9 other locations,NaN,NaN,NaN,NaN
Novonesis,3.8,266,"Work Life Balance, Company Culture, Salary",Promotions,Biotechnology | Bengaluru +11 other locations,NaN,NaN,NaN,NaN
Kutch Chemical Industries,3.9,266,"Job Security, Work Life Balance","Promotions, Salary",Chemicals | Gandhidham +15 other locations,NaN,NaN,NaN,NaN
Health Total,3.7,265,Salary,NaN,Fitness & Wellness | Mumbai +12 other locations,NaN,NaN,NaN,NaN
Diffusion Engineers,4.1,265,"Job Security, Company Culture, Work Life Balance",Promotions,Industrial Machinery | Nagpur +33 other locations,NaN,NaN,NaN,NaN
Dynamatic Technologies,3.8,265,Job Security,"Promotions, Salary, Company Culture",Auto Components | Bengaluru +11 other locations,NaN,NaN,NaN,NaN
KiwiTech,3.6,265,NaN,"Job Security, Work Satisfaction, Promotions",IT Services & Consulting | Noida +4 other locations,NaN,NaN,NaN,NaN
CohnReznick,3.9,265,"Job Security, Work Life Balance, Skill Development",Promotions,Accounting & Auditing | Chennai +4 other locations,NaN,NaN,NaN,NaN
Epigral,4.1,265,"Work Life Balance, Job Security, Company Culture",Promotions,Chemicals | Bharuch +5 other locations,NaN,NaN,NaN,NaN
Data Marshall,3.2,265,NaN,"Promotions, Company Culture, Work Satisfaction",Analytics & KPO | Hyderabad +7 other locations,NaN,NaN,NaN,NaN
SCM Garments,3.6,265,NaN,"Promotions, Salary, Company Culture",Fashion & Textile | Tiruppur +11 other locations,NaN,NaN,NaN,NaN
Globus Infocom,4.2,265,"Salary, Company Culture, Promotions",NaN,EdTech | Noida +30 other locations,NaN,NaN,NaN,NaN
Fingent,3.9,265,"Company Culture, Work Life Balance, Work Satisfaction","Promotions, Salary",Software Product | Kochi +4 other locations,NaN,NaN,NaN,NaN
Liberty Shoes,3.9,265,Work Life Balance,Promotions,Fashion & Textile | Karnal +48 other locations,NaN,NaN,NaN,NaN
JGC Corporation,4.4,265,"Work Life Balance, Job Security, Company Culture",NaN,Engineering & Construction | Chennai +17 other locations,NaN,NaN,NaN,NaN
Wilo Mather and Platt Pumps,3.9,265,"Work Life Balance, Job Security",Promotions,Industrial Machinery | Pune +22 other locations,NaN,NaN,NaN,NaN
Roha Dyechem,3.5,266,NaN,"Promotions, Company Culture, Skill Development",Food Processing | Mumbai +10 other locations,NaN,NaN,NaN,NaN
Madhucon Projects,3.6,264,NaN,"Promotions, Job Security",Engineering & Construction | Hyderabad +36 other locations,NaN,NaN,NaN,NaN
Amazon Distributors,3.9,265,"Work Life Balance, Salary",NaN,New Delhi +37 other locations,NaN,NaN,NaN,NaN
Reliance Cement Company,4.1,264,"Job Security, Company Culture, Work Life Balance",NaN,Building Material | Maihar +28 other locations,NaN,NaN,NaN,NaN
MEDOPHARM,3.8,264,"Work Life Balance, Job Security","Promotions, Salary",Pharma | Chennai +19 other locations,NaN,NaN,NaN,NaN
Madhucon Projects,3.6,264,NaN,"Promotions, Job Security",Engineering & Construction | Hyderabad +36 other locations,NaN,NaN,NaN,NaN
GfK MODE,3.3,264,NaN,"Promotions, Skill Development, Salary",Analytics & KPO | Gurugram +19 other locations,NaN,NaN,NaN,NaN
Apollo 247,3.3,264,NaN,"Promotions, Company Culture, Work Satisfaction",Healthcare | Hyderabad +21 other locations,NaN,NaN,NaN,NaN
The KCP,4.1,264,"Job Security, Work Life Balance, Work Satisfaction",NaN,Building Material | Chennai +17 other locations,NaN,NaN,NaN,NaN
Indian Railway Catering and Tourism,3.8,264,Work Life Balance,"Promotions, Job Security",Travel & Tourism | New Delhi +54 other locations,NaN,NaN,NaN,NaN
Rajiv Gandhi Cancer Institute & Research Centre,3.8,264,Job Security,"Promotions, Work Satisfaction",Healthcare | New Delhi +3 other locations,NaN,NaN,NaN,NaN
Leap Finance,3.2,264,NaN,"Promotions, Job Security, Work Satisfaction",FinTech | Bengaluru +15 other locations,NaN,NaN,NaN,NaN
The Professional Couriers,3.4,264,NaN,"Promotions, Salary, Skill Development",Logistics | New Delhi +67 other locations,NaN,NaN,NaN,NaN
Pahal Financial Services,4.1,264,"Work Life Balance, Company Culture, Work Satisfaction",NaN,NBFC | Ahmedabad +100 other locations,NaN,NaN,NaN,NaN
AAFT,4.1,264,"Work Life Balance, Work Satisfaction, Skill Development",NaN,EdTech | Noida +7 other locations,NaN,NaN,NaN,NaN
Mamaearth,3.8,264,Salary,"Work Satisfaction, Promotions",Beauty & Personal Care | Gurugram +46 other locations,NaN,NaN,NaN,NaN
Lafarge,4.6,263,"Company Culture, Job Security, Skill Development",NaN,Building Material | Mumbai +73 other locations,NaN,NaN,NaN,NaN
IndustryBuying.com,3.4,263,NaN,"Promotions, Work Satisfaction, Job Security",Internet | New Delhi +17 other locations,NaN,NaN,NaN,NaN
Hawkins Cookers,3.7,263,NaN,"Promotions, Company Culture, Work Life Balance",Consumer Electronics & Appliances | Mumbai +40 other locations,NaN,NaN,NaN,NaN
British Paints,3.7,264,Salary,"Company Culture, Work Satisfaction, Job Security",Chemicals | New Delhi +81 other locations,NaN,NaN,NaN,NaN
Rosenberger Electronic,4.0,263,"Work Life Balance, Company Culture, Work Satisfaction",Promotions,Electronics Manufacturing | Gurugram +33 other locations,NaN,NaN,NaN,NaN
Eaton Power Quality,4.0,263,"Company Culture, Skill Development, Work Life Balance",Promotions,Electronics Manufacturing | Puducherry +20 other locations,NaN,NaN,NaN,NaN
Rossell Techsys,4.1,264,"Job Security, Company Culture, Skill Development",Promotions,Defence & Aerospace | Bengaluru +4 other locations,NaN,NaN,NaN,NaN
Reliance Fresh,4.3,263,"Job Security, Company Culture, Work Life Balance",NaN,Retail | New Delhi +61 other locations,NaN,NaN,NaN,NaN
PMT Machines,3.2,263,NaN,"Company Culture, Promotions, Work Life Balance",Industrial Machinery | Pune +15 other locations,NaN,NaN,NaN,NaN
Riddhi Corporate Services,3.9,263,"Work Life Balance, Work Satisfaction","Promotions, Job Security",IT Services & Consulting | Ahmedabad +60 other locations,NaN,NaN,NaN,NaN
PMT Machines,3.2,263,NaN,"Company Culture, Promotions, Work Life Balance",Industrial Machinery | Pune +15 other locations,NaN,NaN,NaN,NaN
ZIGRAM,3.4,263,NaN,"Salary, Promotions, Work Satisfaction",Software Product | Gurugram +8 other locations,NaN,NaN,NaN,NaN
Supermax Personal Care,3.5,263,NaN,"Promotions, Job Security, Company Culture",Beauty & Personal Care | Mumbai +47 other locations,NaN,NaN,NaN,NaN
Tractor Junction,4.1,262,"Company Culture, Work Life Balance, Work Satisfaction",NaN,Internet | Alwar +29 other locations,NaN,NaN,NaN,NaN
Government of Andhra Pradesh,3.7,262,Job Security,"Promotions, Salary, Company Culture",Government | Hyderabad +65 other locations,NaN,NaN,NaN,NaN
Birla Tyres,3.7,262,NaN,"Company Culture, Work Life Balance, Promotions",Auto Components | Balasore +57 other locations,NaN,NaN,NaN,NaN
Ujala Cygnus,3.6,262,NaN,"Promotions, Salary, Job Security",Healthcare | New Delhi +28 other locations,NaN,NaN,NaN,NaN
Super Auto Forge,4.0,263,"Job Security, Skill Development","Salary, Promotions",Industrial Machinery | Chennai +9 other locations,NaN,NaN,NaN,NaN
JSG Group,3.6,262,NaN,"Promotions, Company Culture, Job Security",Auto Components | New Delhi +13 other locations,NaN,NaN,NaN,NaN
MRO,3.0,262,NaN,"Job Security, Promotions, Work Satisfaction",Clinical Research | Pune,NaN,NaN,NaN,NaN
Rehau Polymers,3.3,262,NaN,"Promotions, Work Satisfaction, Skill Development",Engineering & Construction | Vadodara +25 other locations,NaN,NaN,NaN,NaN
